0,0,15.7
-2,3,15.7
2,1,15.7
-1,2,15.7
-1,1,15.7
1,-1,15.7
-2,4,15.7
2,2,15.7
1,0,15.7
-2,3,15.7
1,0,15.7
-2,2,15.7
0,2,15.7
1,0,15.7
-2,2,15.7
1,-1,15.7
-1,3,15.7
1,1,15.7
2,0,15.7
-1,2,15.7
1,-1,15.7
-1,4,15.7
1,2,15.7
0,1,15.7
0,1,15.7
-1,2,15.7
0,1,15.7
2,-1,15.7
-2,2,15.7
1,-1,15.7
-2,2,15.7
1,0,15.7
-1,1,15.7
-1,1,15.7
-2,1,15.7
0,0,15.7
1,-2,15.7
-2,2,15.7
1,-1,15.7
-2,2,15.7
1,0,15.7
-1,1,15.7
-1,1,15.7
1,-1,15.7
-3,1,15.7
1,-2,15.7
-2,2,15.7
1,-1,15.7
-2,2,15.7
0,-1,15.7
-1,0,15.7
-1,1,15.7
1,-1,15.7
0,3,15.7
2,-1,15.7
-1,1,15.7
0,0,15.7
2,2,15.7
2,1,15.7
1,0,15.7
0,1,15.7
1,0,15.7
0,1,15.7
2,-1,15.7
1,0,15.7
-1,1,15.7
1,-1,15.7
0,2,15.7
1,0,15.7
2,-2,15.7
-1,2,15.7
1,-1,15.7
1,1,15.7
2,-1,15.7
1,0,15.7
0,0,15.7
1,-1,15.7
0,1,15.7
2,-1,15.7
-1,1,15.7
1,-1,15.7
0,2,15.7
2,-1,15.7
0,1,15.7
0,1,15.7
1,-1,15.7
-3,1,15.7
1,-2,15.7
-1,0,15.7
-1,1,15.7
0,0,15.7
0,-1,15.7
0,0,15.7
-1,1,15.7
1,-1,15.7
-3,2,15.7
0,-1,15.7
-1,1,15.7
0,0,15.7
0,0,15.7
-2,0,15.7
1,-2,15.7
-2,1,15.7
1,-1,15.7
-2,1,15.7
0,0,15.7
-1,0,15.7
-1,1,15.7
0,-1,15.7
-2,-1,15.7
1,-2,15.7
-1,1,15.7
-1,0,15.7
-2,0,15.7
0,-1,15.7
0,-2,15.7
-2,1,15.7
1,-1,15.7
-1,2,15.7
1,-1,15.7
-1,1,15.7
-1,1,15.7
1,-2,15.7
-1,1,15.7
1,-2,15.7
0,0,15.7
0,0,15.7
-1,1,15.7
0,1,15.7
1,-1,15.7
-1,2,15.7
